duration,text,hearts
160,THANK YOU FOR EVERYTHING YOUVE DONE SIMON!!!THIS IS AN AMAZING COMMUNITY,0
160,crying,0
161,,1
161,FASTER SIMN,0
162,160160160,0
162,SIMON 2020,0
163,,1
164,,1
164,ONE MORE TIME!!!,0
165,,1
165,,4
167,YES,0
167,YAS,0
167,yes,0
168,GO AWF,0
168,YESSSssssss,0
168,There is nothing more sexual than simons hand on the tempo slider ,0
168,KEEP THIS COMMUNITY GOING,0
169,SIMIN 2020,0
169,YAS,0
169,ONE MORE SONG,0
169,YEEEEEEEESSSSSSSSSSS,0
169,YEAHHHHH,0
170,OMG YES,0
171,,1
171,yaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0
171,yessssssssssssss AF,0
171,yep,0
172,FUCKKKKKK,0
172,KEEP IT GOING!,0
172,WE GOT TIME FOR ONE MORE,0
172,KEEP THIS GOING,0
172,thank you so much simon,0
172,ayyyyyy,0
173,,1
173,Encore afffff,0
174,,8
175,,2
175,,4
175,ITS NEVER GONNA STOP,0
176,ahe belongs to me,0
176,,13
176,SIMON 2020,0
177,NO GOODBYE,0
178,JACK4EVR,0
178,,2
178,AGAINNNNNNN,0
179,,6
179,,2
180,ITS NEVER GONNA STOP,0
180,ONE MORE FUCKIN TIME,0
180,this is never gonna stop,0
181,,2
181,,1
181,NO GOODBYE,0
181,I'M SO HAPPY RIGHT NOW,0
181,,2
182,noooooooo,0
182,,1
182,,1
182,NON STOP COMMUNITY,0
182,RELOAD,0
183,,8
183,SIMON 2020,0
184,faster faster faster faster,0
184,,1
185,There is nothing more sexual than simons hand on the tempo slider ,0
185,160,0
186,NO,0
186,FASTER,0
186,,8
187,OMGGGGGGGGGGG,0
187,NO,0
188,,5
188,NO,0
188,EVERY,0
188,160,0
189,FASTER,0
190,FUCK CMONNNNNN,0
190,,1
190,I KNOW I KNOW,0
190,NOOOOO,0
190,,8
191,,24
191,thank u for everything simonnnn,0
191,160,0
191,,6
191,Oh Simon ,0
191,Im sad,0
192,160,0
192,NOPEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,0
193,dont leave me,0
193,160,0
193,HERE WE GO,0
193,OMGGGG,0
193,,1
194,yahhhhhhhh,0
194,,11
194,OH GOD JACK DONT GO,0
194,,9
195,,1
195,I LOVE YOU SIMON,0
195,Simon 2020,0
195,ITS LIT,0
195,420,0
196,,10
196,I LOVE YOU BBB,0
196,ommmggggg,0
196,,1
196,,3
196,FASTERRRRRR,0
196,,1
196,LOVE U ALLLLLLLLLLLL,0
197,160,0
